Year,Belgium,Canada,Denmark,France,Italy,Luxembourg,Netherlands,Portugal,United_Kingdom,United_States,Russia_USSR,China,India,Pakistan,South_Korea,North_Korea,Israel,Egypt,Iran,Iraq
1969,0.851348645,0.794548894,0.82604108,0.859815665,0.83891386,0.683868499,0.836241119,0.903661438,0.829949552,0.89243915,0.894449866,0.811095611,0.796364165,0.786888184,0.893216382,0.918198313,0.925032727,0.826026193,0.832954525,0.837028753
1970,0.848081051,0.79033291,0.825534937,0.85929796,0.838616503,0.683666075,0.832484318,0.905649932,0.829778656,0.884740218,0.895325979,0.810293658,0.795419684,0.785588577,0.894487056,0.920654047,0.926543048,0.831563114,0.83708237,0.838952237
1971,0.847968806,0.7785661,0.825085866,0.858187513,0.838355168,0.683063039,0.828595951,0.913335545,0.826118772,0.876912452,0.889099109,0.811399919,0.796088073,0.825670178,0.89254812,0.920493523,0.940926654,0.844225373,0.838186951,0.844115382
1972,0.844383006,0.784271826,0.824705624,0.857108475,0.848223466,0.682071833,0.831098982,0.916352022,0.825952109,0.867035125,0.890051664,0.811571079,0.796110962,0.814960567,0.891083969,0.920081858,0.938372291,0.856999692,0.839185462,0.842044761
1973,0.845551577,0.777268532,0.813500275,0.85899865,0.852439216,0.681485229,0.828115393,0.922073402,0.827025985,0.863481675,0.889550519,0.814163942,0.796113693,0.83093151,0.889894747,0.919770884,0.935889768,0.855671355,0.84245762,0.839958263
1974,0.843998295,0.776501971,0.805031018,0.859041671,0.850409748,0.68052072,0.827014162,0.922663915,0.823886715,0.861373011,0.890488449,0.828391149,0.795078126,0.818852076,0.888846876,0.918126508,0.959846553,0.857635623,0.846467685,0.841196519
1975,0.842439591,0.772311374,0.802652507,0.858815084,0.840389661,0.67976067,0.824570583,0.847874734,0.821907722,0.859519954,0.889988895,0.827499961,0.795732881,0.832319738,0.887402056,0.916661185,0.953679236,0.854687799,0.859240506,0.863588395
1976,0.84233621,0.77158609,0.795513931,0.858586237,0.839550004,0.679384411,0.823394317,0.829777881,0.819864801,0.858369993,0.89090809,0.826699329,0.786489755,0.842297255,0.88430669,0.919663092,0.951960242,0.852818906,0.863401015,0.87590844
1977,0.84500567,0.77094529,0.797725113,0.858220544,0.842061835,0.679384411,0.821015728,0.826457112,0.817769282,0.85741357,0.886117376,0.825978896,0.778520084,0.838949368,0.882275366,0.921246956,0.953333802,0.845281902,0.849110678,0.851367537
1978,0.846285907,0.77126052,0.799849716,0.85764104,0.843717636,0.67919721,0.822665677,0.827561587,0.816593733,0.85685619,0.88565756,0.82777363,0.778809504,0.829358698,0.881357833,0.933719106,0.951653838,0.859734584,0.846876164,0.91663872
1979,0.844908749,0.770720249,0.799688854,0.857062295,0.843684854,0.679010622,0.822922701,0.826009791,0.817327362,0.855501891,0.885216975,0.828323969,0.777214415,0.830786082,0.884471467,0.939013947,0.950610959,0.858141979,0.855823018,0.928826167
1980,0.845513203,0.772531954,0.799614768,0.856436365,0.844859725,0.678824644,0.822434326,0.831301997,0.818412464,0.855371907,0.884794736,0.828275403,0.767808218,0.819633499,0.879504093,0.93885385,0.954918101,0.856555113,0.833440124,0.924390838
1981,0.846800463,0.771030925,0.799627109,0.856116075,0.845421501,0.678639272,0.822652816,0.830753851,0.820486302,0.8562999,0.884364555,0.828794285,0.766834508,0.829324093,0.87921899,0.944299319,0.955489674,0.855085432,0.820846457,0.915723865
1982,0.84611792,0.770382439,0.797354294,0.856135231,0.846790943,0.678454503,0.821073573,0.832784273,0.819385054,0.857635386,0.883910207,0.823428027,0.766655547,0.830668298,0.877750099,0.94459848,0.955491174,0.853398739,0.81349635,0.915714473
1983,0.84611792,0.769843285,0.792532858,0.855875226,0.844203507,0.678454503,0.81952174,0.834081863,0.818945071,0.858043535,0.88342318,0.819612256,0.764899877,0.816267302,0.876976617,0.943831708,0.954568457,0.851616504,0.811377996,0.918510853
1984,0.844792666,0.770154864,0.795032107,0.854784791,0.84530569,0.678454503,0.81860353,0.839075432,0.819392909,0.858144426,0.882933469,0.818965744,0.764732838,0.814611638,0.876238728,0.942892893,0.953034309,0.852961201,0.830866687,0.957919399
1985,0.844773343,0.770473483,0.789974302,0.853614902,0.844666621,0.678270333,0.818338063,0.840359218,0.818838338,0.85825304,0.88245757,0.818292905,0.770240052,0.81347647,0.875433958,0.94195805,0.947867067,0.851397059,0.830341781,0.955621624
1986,0.844747589,0.771533841,0.787240752,0.852773694,0.847653508,0.678086758,0.820016247,0.839651538,0.818101144,0.858422824,0.881944062,0.816659257,0.769290147,0.811833223,0.8752746,0.945594294,0.940579502,0.839904482,0.828471788,0.954384649
1987,0.846027676,0.771597093,0.787167829,0.852604836,0.844465823,0.677539571,0.819601641,0.84254887,0.817369033,0.858238791,0.881411148,0.808817128,0.768348681,0.809940201,0.874688323,0.944646033,0.939372172,0.846049733,0.828041889,0.961623505
1988,0.846478444,0.772429334,0.792337081,0.852191359,0.844624362,0.676997617,0.819878906,0.842026124,0.816443155,0.856989208,0.880926044,0.811761809,0.771588654,0.808310148,0.876436773,0.944008194,0.942661364,0.844940369,0.866847237,0.966616789
1989,0.84624774,0.771449264,0.794774412,0.851883036,0.844526383,0.676282991,0.818854619,0.842223142,0.815059597,0.856236492,0.877469118,0.812742779,0.766492737,0.811560317,0.877995073,0.957464794,0.941393814,0.843305419,0.860334764,0.964407651
1990,0.843401113,0.769866329,0.794688783,0.851110074,0.842748389,0.675577293,0.81711115,0.829635016,0.812828377,0.854114027,0.873741761,0.806307403,0.76557906,0.813460617,0.877709347,0.966204387,0.938691071,0.83904851,0.838649671,0.984568519
1991,0.839853439,0.768453157,0.792044728,0.850790754,0.840998275,0.674707412,0.816642043,0.828980503,0.811135899,0.851649702,0.901367712,0.800938246,0.764698613,0.813571233,0.886419926,0.965122046,0.934244411,0.837734447,0.840820248,0.909028171
1992,0.821734283,0.764609045,0.786648068,0.849076756,0.840620937,0.674191864,0.806109389,0.823805646,0.809226046,0.845585028,0.87385649,0.799749371,0.763877946,0.813638265,0.885796305,0.96401328,0.928032934,0.835016796,0.847624652,0.89707921
1993,0.812873142,0.758922676,0.783678329,0.844415897,0.837521631,0.672839775,0.802530887,0.812033256,0.804076715,0.841599879,0.859691051,0.797029206,0.763077249,0.812110402,0.8851867,0.956959295,0.926113145,0.83427221,0.846327709,0.89585854
1994,0.792711548,0.757425446,0.786228666,0.844176212,0.835352378,0.671846706,0.794473259,0.853921511,0.800507181,0.837804406,0.855603639,0.794786476,0.762294919,0.810588277,0.884584023,0.955831625,0.925879598,0.833841761,0.845092703,0.897543992
1995,0.783965815,0.752247455,0.783214709,0.843691887,0.835111352,0.670870987,0.784497551,0.821678953,0.794065627,0.834239795,0.855674212,0.794348874,0.761529083,0.809220876,0.883982822,0.954712706,0.923950156,0.832537157,0.83784892,0.900020666
1996,0.78071774,0.747759561,0.785552538,0.843083521,0.834444962,0.669912064,0.781041563,0.816848938,0.790519971,0.83193115,0.85122631,0.788557814,0.760428808,0.807559441,0.876080232,0.95359649,0.922103541,0.831264436,0.845267457,0.898408876
1997,0.782127032,0.74193218,0.787935656,0.839464046,0.832504434,0.669753839,0.772711162,0.816636036,0.790191266,0.829935172,0.851456578,0.787126366,0.759713628,0.809104101,0.875503503,0.952495023,0.920273076,0.829996333,0.849661662,0.888639018
1998,0.777559456,0.739875518,0.776924735,0.835803907,0.83000983,0.668969408,0.769958715,0.815211732,0.789785554,0.82803245,0.835542971,0.786705244,0.760200558,0.803529263,0.875351972,0.944557251,0.91433821,0.826590993,0.831041017,0.890130157
1999,0.77580753,0.73938056,0.782579302,0.831508738,0.828264096,0.668349758,0.768478167,0.81518687,0.789700162,0.826859094,0.829284768,0.782050883,0.759511421,0.802127461,0.874393782,0.943557029,0.912108564,0.825567181,0.83018056,0.888278644
2000,0.770438365,0.73778131,0.76703494,0.808452793,0.800014454,0.667584827,0.765671656,0.782386997,0.787844564,0.821434344,0.835962032,0.790084812,0.758968247,0.802968112,0.87566048,0.946238591,0.910346342,0.827155863,0.836329045,0.887882958
2001,0.769724021,0.735699253,0.762786077,0.803626236,0.794736028,0.665938393,0.762034574,0.778337577,0.787290866,0.82032576,0.834664387,0.779841651,0.756396598,0.808554398,0.875021131,0.950466537,0.904344779,0.828979644,0.838327755,0.882666204
2002,0.769465718,0.729025264,0.769457818,0.799920581,0.790559097,0.665351692,0.761679044,0.777912886,0.786801886,0.821758276,0.835580875,0.778619277,0.757198637,0.807515061,0.874971364,0.94999395,0.901571354,0.827454023,0.838343348,0.875018241
2003,0.772830826,0.728536116,0.769311138,0.799319422,0.785235503,0.664483233,0.765463455,0.77911222,0.787498291,0.821847312,0.834179748,0.777877155,0.75762751,0.806498951,0.87467867,0.949562149,0.903019797,0.826915638,0.83988649,0.873186748
2004,0.767136931,0.734113307,0.765812616,0.798244541,0.783104066,0.663628326,0.765267871,0.777162779,0.786037162,0.822304157,0.836789475,0.777666466,0.756964351,0.805424849,0.874457463,0.949888222,0.901793985,0.826655792,0.831610486,0.850274268
2005,0.762956786,0.73917964,0.762149338,0.797437287,0.781395766,0.662647547,0.765137914,0.77690227,0.784465263,0.822757048,0.839300875,0.777481994,0.756317472,0.804471817,0.874430223,0.950208506,0.901012996,0.826384126,0.822357842,0.817619604
2006,0.764541098,0.738645698,0.761938803,0.797377119,0.781099042,0.661547846,0.765049194,0.778316907,0.787781268,0.825072107,0.838948738,0.77723972,0.755686801,0.803557795,0.874329899,0.949793631,0.899785812,0.825036139,0.837829584,0.831774696
2007,0.769677812,0.739192173,0.765189838,0.797071747,0.780716298,0.660603521,0.764926617,0.77657712,0.779332025,0.823083651,0.839087066,0.776791169,0.754705653,0.802665097,0.87404256,0.949381662,0.898563932,0.823598277,0.83710891,0.830046504
2008,0.746846311,0.72522778,0.763227256,0.7979907,0.814850198,0.673487868,0.73822844,0.803763541,0.752933225,0.810689902,0.842971629,0.782293918,0.78069157,0.810183224,0.851684526,0.928709235,0.872112474,0.840966788,0.819849742,0.867800957
2009,0.747261921,0.726351957,0.730204321,0.795867182,0.797490093,0.667121957,0.732670128,0.803741865,0.759079274,0.811142905,0.843680785,0.78295709,0.780977102,0.80923927,0.848545048,0.93235205,0.870531966,0.840028536,0.819294642,0.874612614
2010,0.740210497,0.72583322,0.729686278,0.795634412,0.802975387,0.666110316,0.7324281,0.803200973,0.757228299,0.810962921,0.841144937,0.782942393,0.7804359,0.809790482,0.848308529,0.932043516,0.869453697,0.83700319,0.818719325,0.885170688
2011,0.736334998,0.725392173,0.720863966,0.793700609,0.804231494,0.664772897,0.732239381,0.803254373,0.753954358,0.808897661,0.838435088,0.78275407,0.780325658,0.808834622,0.847928791,0.931731685,0.868365556,0.83597476,0.818120573,0.883427009
2012,0.729134771,0.725144665,0.723764024,0.79227709,0.802784601,0.663451723,0.732064963,0.803470474,0.754882953,0.807560826,0.83835528,0.783374066,0.78134829,0.807982262,0.847698833,0.931419018,0.867262938,0.834898044,0.817503783,0.881594572
2013,0.742121875,0.7243498,0.723555098,0.790732049,0.802231154,0.662185213,0.731926065,0.795598961,0.750972905,0.805052882,0.833769315,0.783180009,0.781242123,0.807026317,0.847479946,0.931107381,0.866169729,0.833803134,0.816881571,0.786908801
2014,0.742086089,0.727928922,0.723301155,0.789228091,0.801353902,0.660898573,0.729641921,0.794412279,0.748958323,0.802717019,0.834865564,0.782981099,0.780760126,0.804770675,0.844760635,0.930800602,0.865048055,0.832728249,0.816270878,0.795284112
